WATER_BODY,PSN,STN_DATE,YEAR,SEASON,PARAMETER_CLASS,CODE,ABBREV,FULL_NAME,VALUE_REPORTED,UNITS_REPORTED,VALUE_MG_L,FLAG,DETECTION,DEPTH_FROM,DEPTH_TO,LATITUDE_DD,LONGITUDE_DD
GEORGIAN BAY,1,2000-05-08 18:21:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002600,MG P/L,0.0026,,0.00020000,1.00,.00,44.71722,-80.85667
GEORGIAN BAY,1,2000-05-08 18:21:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,44.71722,-80.85667
GEORGIAN BAY,11,2000-05-08 20:35:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002300,MG P/L,0.0023,,0.00020000,1.00,.00,44.92111,-80.60611
GEORGIAN BAY,11,2000-05-08 20:35:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,44.92111,-80.60611
GEORGIAN BAY,12,2000-05-08 21:53:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002200,MG P/L,0.0022,,0.00020000,1.00,.00,44.92000,-80.87472
GEORGIAN BAY,12,2000-05-08 21:53:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,44.92000,-80.87472
GEORGIAN BAY,15,2000-05-08 07:36:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003300,MG P/L,0.0033,,0.00020000,1.00,.00,45.16639,-80.29667
GEORGIAN BAY,15,2000-05-08 07:36:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001500,MG P/L,0.0015,,0.00020000,1.00,.00,45.16639,-80.29667
GEORGIAN BAY,16,2000-05-08 05:42:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003100,MG P/L,0.0031,,0.00020000,1.00,.00,45.35306,-80.48639
GEORGIAN BAY,16,2000-05-08 05:42:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,45.35306,-80.48639
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.002400,MG P/L,0.0024,,0.00020000,1.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.003200,MG P/L,0.0032,,0.00020000,1.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000200,MG P/L,0.0002,<,0.00020000,998.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,260,TP,"PHOSPHOROUS,TOTAL",.000200,MG P/L,0.0002,<,0.00020000,999.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001400,MG P/L,0.0014,,0.00020000,1.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001300,MG P/L,0.0013,,0.00020000,1.00,.00,45.24528,-80.87472
GEORGIAN BAY,17,2000-05-09 02:01:00,2000,Spring,Total phosphorus,264,TF P,"PHOSPHORUS,TOTAL FILTERED",.001000,MG P/L,0.001,,0.00020000,998.00,.00,45.24528,-80.87472
